Step	Training Loss	Validation Loss	Wer
10	3.682200	3.464442	198.869631
20	3.413600	3.384804	262.848531
30	3.359700	3.322810	288.997739
40	3.249800	3.285732	189.675961
50	3.270500	3.241771	248.003014
60	3.312900	3.207136	186.887717
70	3.166400	3.175075	203.617182
80	3.196600	3.150447	237.302185
90	2.959600	3.120462	231.424265
100	2.725300	3.119731	159.080633
110	2.658600	3.106693	177.694047
120	2.684400	3.086056	177.166541
130	2.653700	3.078954	189.525245
140	2.731500	3.083352	169.781462
150	2.678800	3.064265	150.791258
160	2.771800	3.051040	230.972118
170	2.656300	3.042327	164.958553
180	2.468700	3.039573	160.135644
190	2.111000	3.060428	178.749058
200	2.139200	3.076525	142.200452
210	2.188700	3.062453	162.547099
220	2.219600	3.054830	143.556895
230	2.253000	3.050871	147.927656
240	2.246100	3.040842	142.501884
250	2.267600	3.039388	188.018086
260	2.200000	3.024864	163.903542
270	2.004200	3.071870	171.137905
280	1.838500	3.106529	152.373775
290	1.696100	3.119889	160.587792
300	1.777300	3.113244	140.241145
310	1.759800	3.109695	167.294650
320	1.778000	3.121940	156.217031
330	1.887200	3.096652	139.487566
340	1.722500	3.122676	145.365486
350	1.737800	3.120364	147.927656
360	1.516400	3.157917	139.336850
370	1.487100	3.212559	134.740015
380	1.478800	3.195017	131.122833
390	1.462500	3.218964	135.644310
400	1.439600	3.231197	138.507913
410	1.496100	3.214149	138.131123
420	1.473900	3.205188	126.978146
430	1.436200	3.210896	127.053504
440	1.416900	3.213387	133.609646
