Step	Training Loss	Validation Loss	Wer
10	3.501500	3.278265	197.814619
20	3.256600	3.199311	270.007536
30	3.187100	3.128176	239.412208
40	3.048900	3.085062	154.257724
50	3.067400	3.041853	169.103240
60	3.085500	2.995399	182.366240
70	2.946000	2.966146	148.681236
80	2.951800	2.934574	202.562170
90	2.744500	2.906665	171.740769
100	2.492500	2.903909	166.390354
110	2.447100	2.871868	164.129616
120	2.433200	2.857647	190.730972
130	2.409900	2.850574	153.278071
140	2.489800	2.852041	172.268274
150	2.440300	2.835938	129.540317
160	2.525900	2.822194	229.841748
170	2.427200	2.810314	130.896760
180	2.230800	2.800803	123.285607
190	1.873800	2.824120	162.547099
200	1.886300	2.845540	156.367747
210	1.935000	2.830023	150.263753
220	1.990700	2.827163	128.334589
230	2.000000	2.815378	143.556895
240	2.027200	2.819645	124.491334
250	2.013300	2.806974	162.547099
260	1.959700	2.792503	138.960060
270	1.772100	2.831221	151.846270
280	1.617300	2.877974	135.719668
290	1.458400	2.890424	136.171816
300	1.532800	2.895437	127.882442
310	1.549800	2.890860	143.255463
320	1.567600	2.880435	133.760362
330	1.646700	2.875223	124.039186
340	1.478000	2.898028	140.467219
350	1.497000	2.891266	140.768651
360	1.282200	2.927639	130.444612
370	1.274800	2.971247	129.238885
380	1.266800	2.956692	128.636021
390	1.264700	2.965858	118.990203
400	1.242700	2.975919	130.444612
410	1.268700	2.965476	121.703090
420	1.252600	2.967517	121.100226
430	1.233800	2.972736	117.558402
440	1.212400	2.975426	120.949510
